,url,img,color,occasion,style
35,https://en-ae.namshi.com/buy-thouq-printed-abaya-w951231a.html,https://pa.namshicdn.com/product/A1/32159W/1-web-desktop-list.jpg,Multicolor,event,
36,https://en-ae.namshi.com/buy-khizana-ruffle-hem-abaya-w1154414a.html,https://pa.namshicdn.com/product/A4/144511W/1-web-desktop-list.jpg,Beige,Casual,
37,https://en-ae.namshi.com/buy-khizana-floral-embroidery-panel-detail-abaya-w1189393a.html,https://pa.namshicdn.com/product/A3/939811W/1-web-desktop-list.jpg,Blue,Evening,
38,https://en-ae.namshi.com/buy-khizana-ruffle-hem-abaya-w1112529a.html,https://pa.namshicdn.com/product/A9/252111W/1-web-desktop-list.jpg,Pink,Casual,
39,https://en-ae.namshi.com/buy-khizana-drape-front-embroidered-abaya-w1189404a.html,https://pa.namshicdn.com/product/A4/049811W/1-web-desktop-list.jpg,Navy,Evening,
40,https://en-ae.namshi.com/buy-nukhbaa-flute-sleeve-abaya-w1197797a.html,https://pa.namshicdn.com/product/A7/977911W/1-web-desktop-list.jpg,Grey,event,
41,https://en-ae.namshi.com/buy-neways-by-modanisa-crew-neck-zip-detail-abaya-w1186286a.html,https://pa.namshicdn.com/product/A6/826811W/1-web-desktop-list.jpg,Pink,Casual,
42,https://en-ae.namshi.com/buy-refka-by-modanisa-v-neck-printed-abaya-w1063049a.html,https://pa.namshicdn.com/product/A9/403601W/1-web-desktop-list.jpg,Prints,Casual,
43,https://en-ae.namshi.com/buy-khizana-embellished-net-abaya-w1151625a.html,https://pa.namshicdn.com/product/A5/261511W/1-web-desktop-list.jpg,White,Evening,
44,https://en-ae.namshi.com/buy-thouq-printed-abaya-w951229a.html,https://pa.namshicdn.com/product/A9/22159W/1-web-desktop-list.jpg,Multicolor,event,
45,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189396a.html,https://pa.namshicdn.com/product/A6/939811W/1-web-desktop-list.jpg,Blue,Evening,
46,https://en-ae.namshi.com/buy-house-of-moda-printed-oversized-abaya-w1023308a.html,https://pa.namshicdn.com/product/A8/033201W/1-web-desktop-list.jpg,Navy,Casual,
47,https://en-ae.namshi.com/buy-khizana-puff-sleeve-abaya-w1154416a.html,https://pa.namshicdn.com/product/A6/144511W/1-web-desktop-list.jpg,Pink,Casual,
